,Mn,Co,Cu,Ga,Ge,Nb,Ni,Si,Sn,Zn,N,C,B,Fe,Ag,element_B,Sb,Cr,Re,alpha,t1,t2
71,3.0,0,0.5,0.0,0.0,0.0,0.0,0.0,0.1,0.0,1.0,0.0,0.0,0.0,0.0,3,0.4,0.0,0.0,-92.92,143.37,158.16
72,3.0,0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,0.5,0.0,0.0,-83.75,113.61,128.42
73,3.0,0,0.9,0.0,0.0,0.0,0.0,0.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,-6.3,122.0,132.0
77,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1,0.0,0.0,0.0,-44.5,260.88,275.98
78,3.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7,2,0.0,0.0,0.0,-57.0,213.0,233.0
83,2.7,0,0.6,0.0,0.4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,0.0,0.3,0.0,-29.15,135.0,190.0
84,2.65,0,0.6,0.0,0.4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,0.0,0.45,0.0,-19.14,80.0,150.0
86,3.0,0,0.5,0.0,0.4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.1,-12.6,251.0,315.0
87,3.0,0,0.4,0.0,0.4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.2,-1.07,238.0,295.0
88,3.0,0,0.6,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.95,0.05,0.0,0.0,0.0,2,0.0,0.0,0.0,-23.13,173.0,226.0
91,3.0,0,0.8,0.0,0.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,-60.27,119.68,164.68
92,3.0,0,0.7,0.0,0.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,3,0.0,0.0,0.0,-66.5,159.5,189.5
93,3.0,0,0.6,0.0,0.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2,3,0.0,0.0,0.0,-64.49,174.74,205.06
94,3.0,0,0.5,0.0,0.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3,3,0.0,0.0,0.0,-45.024,184.68,225.25
95,3.0,0,0.6,0.0,0.35,0.0,0.0,0.05,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,-30.0,216.01,267.97
96,3.0,0,0.6,0.0,0.3,0.0,0.0,0.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,-29.35,176.14,240.2
98,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1,0.0,0.0,0.0,-22.43,270.1,288.7
99,3.0,0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.98,2,0.0,0.0,0.0,-14.1,267.6,287.3
100,3.0,0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.96,2,0.0,0.0,0.0,-20.0,266.4,287.5
101,3.0,0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.94,2,0.0,0.0,0.0,-24.0,266.3,284.9
105,3.0,0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,-22.1,276.0,334.0
106,3.0,0,0.0,0.8,0.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,-20.0,351.0,411.0
107,3.0,0,0.0,0.7,0.3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,-18.0,370.0,438.0
108,3.0,0,0.0,0.6,0.4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,-12.6,421.0,473.0
109,3.0,0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,-0.1,423.0,475.0
111,3.0,0,0.0,0.8,0.0,0.0,0.0,0.0,0.2,0.0,1.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,-38.4,314.0,373.0
112,3.0,0,0.0,0.7,0.0,0.0,0.0,0.0,0.3,0.0,1.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,-24.0,335.0,396.0
114,3.0,0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,-12.0,407.0,458.0
115,3.0,0,0.0,0.4,0.0,0.0,0.0,0.0,0.6,0.0,1.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,-6.5,451.0,489.0
117,2.95,0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,-34.0,330.0,365.0
120,3.0,0,0.0,0.6,0.0,0.0,0.0,0.0,0.4,0.0,1.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,-31.33,372.55,418.63
