,Mn,Co,Cu,Ga,Ge,Nb,Ni,Si,Sn,Zn,N,C,B,Fe,Ag,element_B,Sb,Cr,Re,alpha,t1,t2
55,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.55,0.85,0.15,0.0,0.0,0.0,2,0.0,0.0,0.0,-19.31,210.58,288.73
56,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.4,0.85,0.15,0.0,0.0,0.0,2,0.0,0.0,0.0,-23.0,270.0,336.0
57,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,0.35,0.85,0.15,0.0,0.0,0.0,2,0.0,0.0,0.0,-21.0,284.0,353.0
59,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.55,0.85,0.1,0.05,0.0,0.0,2,0.0,0.0,0.0,-37.0,270.0,325.0
60,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.85,0.1,0.05,0.0,0.0,2,0.0,0.0,0.0,-30.0,280.0,340.0
63,3.0,0,0.7,0.0,0.0,0.0,0.0,0.0,0.3,0.0,1.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,-31.75,193.34,218.71
66,3.0,0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,0.4,0.0,0.0,-192.44,117.29,123.08
69,3.0,0,0.5,0.0,0.0,0.0,0.0,0.0,0.3,0.0,1.0,0.0,0.0,0.0,0.0,3,0.2,0.0,0.0,-18.13,248.42,294.03
70,3.0,0,0.5,0.0,0.0,0.0,0.0,0.0,0.2,0.0,1.0,0.0,0.0,0.0,0.0,3,0.3,0.0,0.0,-46.6,208.24,233.32
71,3.0,0,0.5,0.0,0.0,0.0,0.0,0.0,0.1,0.0,1.0,0.0,0.0,0.0,0.0,3,0.4,0.0,0.0,-92.92,143.37,158.16
72,3.0,0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,0.5,0.0,0.0,-83.75,113.61,128.42
73,3.0,0,0.9,0.0,0.0,0.0,0.0,0.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,-6.3,122.0,132.0
74,3.0,0,0.8,0.0,0.0,0.0,0.0,0.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,-2.8,127.0,137.0
76,3.0,0,0.6,0.0,0.0,0.0,0.0,0.4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,-0.8,83.0,96.0
77,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1,0.0,0.0,0.0,-44.5,260.88,275.98
78,3.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7,2,0.0,0.0,0.0,-57.0,213.0,233.0
83,2.7,0,0.6,0.0,0.4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,0.0,0.3,0.0,-29.15,135.0,190.0
84,2.65,0,0.6,0.0,0.4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,0.0,0.45,0.0,-19.14,80.0,150.0
85,3.0,0,0.55,0.0,0.4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.05,-13.8,241.0,305.0
86,3.0,0,0.5,0.0,0.4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.1,-12.6,251.0,315.0
87,3.0,0,0.4,0.0,0.4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.2,-1.07,238.0,295.0
90,3.0,0,0.6,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.85,0.15,0.0,0.0,0.0,2,0.0,0.0,0.0,-22.34,85.0,137.0
93,3.0,0,0.6,0.0,0.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2,3,0.0,0.0,0.0,-64.49,174.74,205.06
95,3.0,0,0.6,0.0,0.35,0.0,0.0,0.05,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,-30.0,216.01,267.97
96,3.0,0,0.6,0.0,0.3,0.0,0.0,0.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,-29.35,176.14,240.2
97,3.0,0,0.6,0.0,0.25,0.0,0.0,0.15,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,-9.88,79.41,199.67
98,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1,0.0,0.0,0.0,-22.43,270.1,288.7
99,3.0,0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.98,2,0.0,0.0,0.0,-14.1,267.6,287.3
100,3.0,0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.96,2,0.0,0.0,0.0,-20.0,266.4,287.5
102,3.0,0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.92,2,0.0,0.0,0.0,-21.5,266.3,287.3
105,3.0,0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,-22.1,276.0,334.0
106,3.0,0,0.0,0.8,0.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,-20.0,351.0,411.0
107,3.0,0,0.0,0.7,0.3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,-18.0,370.0,438.0
108,3.0,0,0.0,0.6,0.4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,-12.6,421.0,473.0
110,3.0,0,0.0,0.9,0.0,0.0,0.0,0.0,0.1,0.0,1.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,-145.0,265.0,332.0
111,3.0,0,0.0,0.8,0.0,0.0,0.0,0.0,0.2,0.0,1.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,-38.4,314.0,373.0
112,3.0,0,0.0,0.7,0.0,0.0,0.0,0.0,0.3,0.0,1.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,-24.0,335.0,396.0
113,3.0,0,0.0,0.6,0.0,0.0,0.0,0.0,0.4,0.0,1.0,0.0,0.0,0.0,1.0,2,0.0,0.0,0.0,-15.6,355.0,422.0
114,3.0,0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,-12.0,407.0,458.0
116,3.0,0,0.0,0.3,0.0,0.0,0.0,0.0,0.7,0.0,1.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,-0.45,480.0,513.0
117,2.95,0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,-34.0,330.0,365.0
120,3.0,0,0.0,0.6,0.0,0.0,0.0,0.0,0.4,0.0,1.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,-31.33,372.55,418.63
