,Mn,Co,Cu,Ga,Ge,Nb,Ni,Si,Sn,Zn,N,C,B,Fe,Ag,element_B,Sb,Cr,Re,alpha,t1,t2
0,3.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.4,1.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,-7.93,391.0,439.0
1,3.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.5,1.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,-25.3,313.0,371.0
2,3.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.6,1.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,-29.7,330.0,381.0
3,3.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,1.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,-9.91,357.0,413.0
37,3.0,0,0.6,0.0,0.26,0.0,0.0,0.14,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,-12.4,115.0,206.0
86,3.0,0,0.5,0.0,0.4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.1,-12.6,251.0,315.0
103,3.0,0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9,2,0.0,0.0,0.0,-18.2,260.1,284.8
28,3.0,0,0.6,0.0,0.25,0.15,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,-11.3,128.0,221.0
47,3.0,0,0.45,0.0,0.4,0.0,0.15,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,-9.76,184.93,265.16
32,3.0,0,0.6,0.0,0.25,0.0,0.0,0.15,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,-11.55,90.0,190.0
0,3.0,0,0.53,0.0,0.47,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,-16.0,267.0,342.0
101,3.0,0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.94,2,0.0,0.0,0.0,-24.0,266.3,284.9
46,3.0,0,0.5,0.0,0.4,0.0,0.1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,-15.35,209.98,280.04
68,3.0,0,0.5,0.0,0.0,0.0,0.0,0.0,0.4,0.0,1.0,0.0,0.0,0.0,0.0,3,0.1,0.0,0.0,-7.24,293.69,323.5
56,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.4,0.85,0.15,0.0,0.0,0.0,2,0.0,0.0,0.0,-23.0,270.0,336.0
38,3.0,0,0.6,0.0,0.25,0.0,0.0,0.15,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,-11.6,95.0,195.0
57,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,0.35,0.85,0.15,0.0,0.0,0.0,2,0.0,0.0,0.0,-21.0,284.0,353.0
82,2.85,0,0.6,0.0,0.4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,0.0,0.15,0.0,-32.27,191.0,239.0
106,3.0,0,0.0,0.8,0.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,-20.0,351.0,411.0
27,3.0,0,0.6,0.0,0.3,0.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,-19.93,199.0,256.0
105,3.0,0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,-22.1,276.0,334.0
97,3.0,0,0.6,0.0,0.25,0.0,0.0,0.15,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,-9.88,79.41,199.67
90,3.0,0,0.6,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.85,0.15,0.0,0.0,0.0,2,0.0,0.0,0.0,-22.34,85.0,137.0
94,3.0,0,0.5,0.0,0.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3,3,0.0,0.0,0.0,-45.024,184.68,225.25
115,3.0,0,0.0,0.4,0.0,0.0,0.0,0.0,0.6,0.0,1.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,-6.5,451.0,489.0
