#EXPORTTYPE:DATA SINGLE							
#FILE:A+.ngb-sla							
#FORMAT:NETZSCH5							
#FTYPE:ANSI							
#IDENTITY:A-2+							
#DECIMAL:POINT							
#SEPARATOR:SEMICOLON							
#MTYPE:DIL							
#INSTRUMENT:NETZSCH DIL 402SE							
#PROJECT:1							
#DATE/TIME:10.12.2019 13:35							
#CORR. FILE:							
#TEMPCAL:TCALZERO.TMX							
#LABORATORY:1							
#OPERATOR:1							
#REMARK:							
#SAMPLE:A-2+							
#SAMPLE LENGTH /mm:23.75							
#MATERIAL:							
#MEASMODE:Standard Expansion							
#M.RANGE /¶Ãm:20000							
#CORR. CODE:010							
#RANGE:-110°„C/5.0(K/min)/200°„C							
#SEGMENT:S1/1							
#SEG. 1:-110°„C/5.0(K/min)/200°„C							
							
##Temp./°„C	Time/min	dL/Lo					
-88	4.54502	-2.79347E-05					
-87.9	4.56501	-2.77577E-05					
-87.8	4.58502	-2.77173E-05					
-87.7	4.60499	-2.76737E-05					
-87.6	4.62496	-2.77161E-05					
-87.5	4.64491	-2.7513E-05					
-87.4	4.6649	-2.74936E-05					
-87.3	4.68489	-2.74024E-05					
-87.2	4.70487	-2.73897E-05					
-87.1	4.72482	-2.73437E-05					
-87	4.74478	-2.72001E-05					
-86.9	4.76476	-2.72871E-05					
-86.8	4.7847	-2.71508E-05					
-86.7	4.80466	-2.72081E-05					
-86.6	4.82463	-2.70057E-05					
-86.5	4.84457	-2.71096E-05					
-86.4	4.86451	-2.69573E-05					
-86.3	4.88444	-2.69514E-05					
-86.2	4.90438	-2.69173E-05					
-86.1	4.92428	-2.67509E-05					
-86	4.94418	-2.68142E-05					
-85.9	4.9641	-2.6619E-05					
-85.8	4.984	-2.67093E-05					
-85.7	5.00386	-0.000026672					
-85.6	5.02374	-2.65962E-05					
-85.5	5.04363	-2.65094E-05					
-85.4	5.06351	-2.64593E-05					
-85.3	5.08335	-2.64731E-05					
-85.2	5.10321	-2.63116E-05					
-85.1	5.12305	-2.63412E-05					
-85	5.1429	-2.62479E-05					
-84.9	5.1627	-2.62981E-05					
-84.8	5.18252	-2.61777E-05					
-84.7	5.20236	-2.61541E-05					
-84.6	5.22216	-2.60976E-05					
-84.5	5.24198	-2.61061E-05					
-84.4	5.26182	-2.60137E-05					
-84.3	5.28165	-2.58882E-05					
-84.2	5.30146	-2.59818E-05					
-84.1	5.32128	-2.58718E-05					
-84	5.34111	-2.5825E-05					
-83.9	5.36094	-2.58586E-05					
-83.8	5.38073	-2.57443E-05					
-83.7	5.40056	-2.57548E-05					
-83.6	5.42041	-2.56124E-05					
-83.5	5.44024	-2.57388E-05					
-83.4	5.46008	-2.55819E-05					
-83.3	5.47991	-2.56402E-05					
-83.2	5.49973	-2.55155E-05					
-83.1	5.51957	-2.54999E-05					
-83	5.53939	-2.54927E-05					
-82.9	5.55924	-2.54038E-05					
-82.8	5.57911	-2.53347E-05					
-82.7	5.59894	-2.52513E-05					
-82.6	5.61878	-2.53144E-05					
-82.5	5.63863	-2.51566E-05					
-82.4	5.65846	-2.51315E-05					
-82.3	5.67826	-2.50916E-05					
-82.2	5.69809	-2.50601E-05					
-82.1	5.71791	-2.49548E-05					
-82	5.73773	-2.48716E-05					
-81.9	5.75756	-2.49673E-05					
-81.8	5.77741	-2.48381E-05					
-81.7	5.79721	-2.48227E-05					
-81.6	5.81701	-2.46767E-05					
-81.5	5.8368	-2.4755E-05					
-81.4	5.85661	-2.46332E-05					
-81.3	5.87641	-2.45979E-05					
-81.2	5.89621	-2.45847E-05					
-81.1	5.91601	-2.44694E-05					
-81	5.93581	-2.44711E-05					
-80.9	5.95561	-2.43322E-05					
