#EXPORTTYPE:DATA SINGLE						
#FILE:B&D.ngb-sla						
#FORMAT:NETZSCH5						
#FTYPE:ANSI						
#IDENTITY:D						
#DECIMAL:POINT						
#SEPARATOR:SEMICOLON						
#MTYPE:DIL						
#INSTRUMENT:NETZSCH DIL 402SE						
#PROJECT:1						
#DATE/TIME:10.12.2019 16:07						
#CORR. FILE:						
#TEMPCAL:TCALZERO.TMX						
#LABORATORY:1						
#OPERATOR:1						
#REMARK:						
#SAMPLE:D						
#SAMPLE LENGTH /mm:9.91						
#MATERIAL:Ã’¥…						
#MEASMODE:Standard Expansion						
#M.RANGE /¶Ãm:20000						
#CORR. CODE:010						
#RANGE:-110°„C/5.0(K/min)/200°„C						
#SEGMENT:S1/1						
#SEG. 1:-110°„C/5.0(K/min)/200°„C						
						
##Temp./°„C	Time/min	dL/Lo				
-85.6	5.02468	0.00010418				
-85.5	5.04457	0.00010557				
-85.4	5.06445	0.000106791				
-85.3	5.08431	0.000108085				
-85.2	5.10417	0.000109236				
-85.1	5.12404	0.000110484				
-85	5.14387	0.000111867				
-84.9	5.16373	0.000113107				
-84.8	5.18355	0.000114414				
-84.7	5.2034	0.000115531				
-84.6	5.22322	0.000117018				
-84.5	5.24302	0.000118138				
-84.4	5.26281	0.000119644				
-84.3	5.28263	0.000120661				
-84.2	5.30241	0.000122182				
-84.1	5.3222	0.000123269				
-84	5.34196	0.000124594				
-83.9	5.36172	0.000125879				
-83.8	5.3815	0.000127066				
-83.7	5.40127	0.000128577				
-83.6	5.42102	0.000129686				
-83.5	5.44078	0.000131174				
-83.4	5.46055	0.000132174				
-83.3	5.48031	0.000133788				
-83.2	5.50005	0.000134847				
-83.1	5.5198	0.000136298				
-83	5.53954	0.000137412				
-82.9	5.55931	0.000138812				
-82.8	5.57904	0.000139929				
-82.7	5.5988	0.000141314				
-82.6	5.61852	0.000142649				
-82.5	5.63825	0.000143831				
-82.4	5.65801	0.000145412				
-82.3	5.67775	0.000146531				
-82.2	5.69748	0.000147994				
-82.1	5.71724	0.000149217				
-82	5.73697	0.000150783				
-81.9	5.75671	0.00015192				
-81.8	5.77645	0.000153506				
-81.7	5.79618	0.000154765				
-81.6	5.81587	0.000155977				
-81.5	5.83562	0.00015768				
-81.4	5.85537	0.000158726				
-81.3	5.8751	0.000160204				
-81.2	5.89486	0.000161571				
-81.1	5.91462	0.000163007				
-81	5.93437	0.000164094				
-80.9	5.95412	0.000165705				
-80.8	5.97388	0.000167013				
-80.7	5.99364	0.00016845				
-80.6	6.01337	0.000169625				
-80.5	6.03311	0.000171039				
-80.4	6.05286	0.000172432				
-80.3	6.07262	0.000173808				
-80.2	6.09237	0.000175129				
-80.1	6.11211	0.000176524				
-80	6.13185	0.000177825				
-79.9	6.15161	0.000179358				
-79.8	6.17138	0.000180553				
-79.7	6.19113	0.000181861				
-79.6	6.2109	0.000183446				
-79.5	6.23067	0.000184614				
-79.4	6.25042	0.000186224				
-79.3	6.27016	0.000187174				
-79.2	6.28989	0.000188735				
-79.1	6.30958	0.00019019				
-79	6.32929	0.00019146				
-78.9	6.34899	0.000192768				
-78.8	6.3687	0.000194228				
-78.7	6.38839	0.000195472				
-78.6	6.40809	0.00019692				
-78.5	6.42779	0.000198073				
-78.4	6.44749	0.000199496				
-78.3	6.46719	0.000200971				
-78.2	6.4869	0.000202195				
-78.1	6.50659	0.000203567				
-78	6.52629	0.000204888				
-77.9	6.54599	0.000206476				
-77.8	6.5657	0.000207511				
-77.7	6.58538	0.000209091				
-77.6	6.60508	0.000210147				
-77.5	6.62476	0.000211875				
-77.4	6.64445	0.000213124				
-77.3	6.66413	0.000214403				
-77.2	6.68379	0.000215769				
-77.1	6.70346	0.000217101				
-77	6.72316	0.000218561				
-76.9	6.74284	0.000219727				
-76.8	6.76253	0.00022116				
-76.7	6.78223	0.000222383				
-76.6	6.80191	0.000224051				
-76.5	6.82161	0.000225081				
-76.4	6.84129	0.000226646				
-76.3	6.86097	0.000227807				
-76.2	6.88067	0.000229452				
-76.1	6.90034	0.000230639				
-76	6.92003	0.000231956				
-75.9	6.9397	0.000233394				
-75.8	6.95937	0.000234375				
-75.7	6.97902	0.000235944				
-75.6	6.99869	0.000237159				
-75.5	7.01837	0.000238837				
-75.4	7.03804	0.000239866				
-75.3	7.05773	0.000241452				
-75.2	7.07742	0.000242671				
-75.1	7.09713	0.000244112				
-75	7.11683	0.000245362				
-74.9	7.1365	0.000246857				
-74.8	7.1562	0.000248292				
-74.7	7.17591	0.000249492				
-74.6	7.1956	0.000250785				
-74.5	7.21529	0.000252417				
-74.4	7.23497	0.000253528				
-74.3	7.25469	0.000254935				
-74.2	7.27438	0.000256338				
-74.1	7.29409	0.000257551				
-74	7.31377	0.000259109				
-73.9	7.33349	0.000260266				
-73.8	7.35321	0.000261816				
-73.7	7.37293	0.000262974				
-73.6	7.39265	0.000264522				
-73.5	7.41236	0.00026577				
-73.4	7.43207	0.000267362				
-73.3	7.45178	0.000268481				
-73.2	7.47149	0.000269911				
-73.1	7.49121	0.000271386				
-73	7.51092	0.000272607				
-72.9	7.53063	0.00027402				
-72.8	7.55036	0.000275168				
-72.7	7.57006	0.000276727				
-72.6	7.58977	0.000277965				
-72.5	7.6095	0.000279458				
-72.4	7.62919	0.000280511				
-72.3	7.64889	0.000282208				
-72.2	7.66859	0.000283317				
-72.1	7.68831	0.000284845				
-72	7.70801	0.000285921				
-71.9	7.72774	0.000287509				
-71.8	7.74742	0.000288729				
-71.7	7.76714	0.00029016				
-71.6	7.78683	0.000291338				
-71.5	7.80655	0.000292732				
-71.4	7.82627	0.000294247				
-71.3	7.84595	0.000295403				
-71.2	7.86565	0.00029696				
-71.1	7.88534	0.000298149				
-71	7.90504	0.000299574				
