#EXPORTTYPE:DATA SINGLE							
#FILE:C.ngb-sla							
#FORMAT:NETZSCH5							
#FTYPE:ANSI							
#IDENTITY:C-2							
#DECIMAL:POINT							
#SEPARATOR:SEMICOLON							
#MTYPE:DIL							
#INSTRUMENT:NETZSCH DIL 402SE							
#PROJECT:1							
#DATE/TIME:10.12.2019 18:53							
#CORR. FILE:							
#TEMPCAL:TCALZERO.TMX							
#LABORATORY:1							
#OPERATOR:1							
#REMARK:							
#SAMPLE:C-2							
#SAMPLE LENGTH /mm:23.86							
#MATERIAL:Ã’¥…							
#MEASMODE:Standard Expansion							
#M.RANGE /¶Ãm:20000							
#CORR. CODE:010							
#RANGE:-110°„C/5.0(K/min)/200°„C							
#SEGMENT:S1/1							
#SEG. 1:-110°„C/5.0(K/min)/200°„C							
							
##Temp./°„C	Time/min	dL/Lo					
-87.2	4.71891	-7.24156E-05					
-87.1	4.73882	-7.16646E-05					
-87	4.75873	-7.07774E-05					
-86.9	4.77861	-7.01367E-05					
-86.8	4.79851	-6.93567E-05					
-86.7	4.81842	-6.85205E-05					
-86.6	4.83829	-6.76796E-05					
-86.5	4.85819	-6.68379E-05					
-86.4	4.87807	-6.60862E-05					
-86.3	4.89793	-6.52239E-05					
-86.2	4.9178	-6.44933E-05					
-86.1	4.93766	-6.35515E-05					
-86	4.95752	-6.28167E-05					
-85.9	4.97736	-6.1954E-05					
-85.8	4.9972	-6.11848E-05					
-85.7	5.017	-6.02887E-05					
-85.6	5.03684	-5.95054E-05					
-85.5	5.05666	-5.87137E-05					
-85.4	5.07644	-5.77814E-05					
-85.3	5.09626	-5.70103E-05					
-85.2	5.11606	-5.61961E-05					
-85.1	5.13587	-5.53395E-05					
-85	5.15565	-5.44819E-05					
-84.9	5.17543	-5.3588E-05					
-84.8	5.19525	-5.28097E-05					
-84.7	5.21502	-5.20678E-05					
-84.6	5.2348	-5.11435E-05					
-84.5	5.25456	-5.0225E-05					
-84.4	5.27433	-4.94184E-05					
-84.3	5.2941	-4.85527E-05					
-84.2	5.31386	-4.77555E-05					
-84.1	5.33363	-4.68402E-05					
-84	5.35337	-4.60604E-05					
-83.9	5.37314	-4.51727E-05					
-83.8	5.3929	-4.43387E-05					
-83.7	5.41264	-4.34617E-05					
-83.6	5.43242	-4.25857E-05					
-83.5	5.45217	-4.16997E-05					
-83.4	5.47192	-4.09068E-05					
-83.3	5.49169	-3.9984E-05					
-83.2	5.51144	-3.91917E-05					
-83.1	5.53121	-3.83042E-05					
-83	5.55098	-3.74982E-05					
-82.9	5.57078	-3.6502E-05					
-82.8	5.59053	-3.57559E-05					
-82.7	5.6103	-3.48401E-05					
-82.6	5.63009	-3.39294E-05					
-82.5	5.64988	-3.31055E-05					
-82.4	5.66967	-3.21434E-05					
-82.3	5.68944	-3.13838E-05					
